step,time,dt,kinetic_energy,strain_energy,dissipation_rate,integrated_dissipation,total_energy
1,0.0,0.001,0.02507381618291442,4.5616533807022244e-07,0.008033961036763715,8.033961036763715e-06,0.025082306309289253
20,0.01900000000000001,0.001,0.02478860966186188,0.00017405857915847077,0.007629179512037226,0.00015446594111220418,0.02511713418213256
40,0.03900000000000003,0.001,0.024177245514716186,0.0006539080015729918,0.007556325149842218,0.00030630627341732584,0.025137459789706506
60,0.059000000000000045,0.001,0.023309602787000283,0.001403263254484233,0.0076016440268325295,0.00045755714366952407,0.025170423185154042
80,0.07900000000000006,0.001,0.022267492108225734,0.002338801838477465,0.007835269646280956,0.0006119369515992797,0.02521823089830248
100,0.09900000000000007,0.001,0.02114285242475793,0.003308983261725555,0.00841820390933132,0.0007739178020480179,0.025225753488531504
120,0.11900000000000009,0.001,0.020031196090577255,0.004366157684887489,0.009332757416133788,0.0009517543882091141,0.025349108163673858
140,0.1390000000000001,0.001,0.019018906268016098,0.005279834679953654,0.010404819754961372,0.0011497887933604829,0.025448529741330234
160,0.1590000000000001,0.001,0.018176379110769237,0.005935284937926826,0.011381614229956333,0.001368278878156324,0.025479942926852385
180,0.17900000000000013,0.001,0.01756376586990696,0.006477912861761416,0.01286531785575332,0.0016106634605439402,0.025652342192212317
200,0.19900000000000015,0.001,0.017230416719144957,0.00665195684845782,0.014586671382294478,0.001885428705713592,0.02576780227331637
220,0.21900000000000017,0.001,0.017180643087239586,0.006418147648377303,0.01654878555316704,0.0021978106597949974,0.025796601395411886
240,0.23900000000000018,0.001,0.017376199255785908,0.0059097944460296415,0.018743068683674265,0.002551501069037852,0.0258374947708534
260,0.2590000000000002,0.001,0.01776051086752453,0.0051604769262425555,0.021085012335976875,0.002951197712272936,0.02587218550604002
280,0.2790000000000002,0.001,0.01825266770756322,0.004397783853814306,0.023353147740745428,0.0033978926070980676,0.026048344168475596
300,0.2990000000000002,0.001,0.018756299195241855,0.003518442091283869,0.025393744713687785,0.0038858572785304113,0.026160598565056134
320,0.31900000000000023,0.001,0.019206975187672497,0.0026728509253465633,0.0275246912471115,0.004417097765904702,0.026296923878923763
340,0.33900000000000025,0.001,0.019529557443475367,0.001978964583654219,0.02919749387514032,0.0049853538662556615,0.026493875893385248
360,0.35900000000000026,0.001,0.01968309265625794,0.001386389716959462,0.030419631563906077,0.005584220853937883,0.026653703227155285
380,0.3790000000000003,0.001,0.019629916254015736,0.001103515407856207,0.03083272720195219,0.006197422677304135,0.026930854339176077
400,0.3990000000000003,0.001,0.01937262943828722,0.000954895268225807,0.030064826148859865,0.0068070713492949615,0.02713459605580799
420,0.4190000000000003,0.001,0.018932160731597585,0.0010254125291848052,0.028185729782987556,0.007390426978234037,0.027348000239016425
440,0.43900000000000033,0.001,0.01834878809921701,0.0013044739875840458,0.025829866978080224,0.007931011885637752,0.02758427397243881
460,0.45900000000000035,0.001,0.017670085430496064,0.0016000116017474938,0.023076062857379325,0.00841904974321034,0.0276891467754539
480,0.47900000000000037,0.001,0.016939625453798436,0.0021223075377805804,0.020402523462900873,0.008852097654696203,0.02791403064627522
500,0.4990000000000004,0.001,0.016210291117763467,0.0025523984335927333,0.017982771855208624,0.009234507479854171,0.02799719703121037
520,0.5190000000000003,0.001,0.015528119060740312,0.003104089950608164,0.01568053461892451,0.00956961282375406,0.028201821835102534
540,0.5390000000000004,0.001,0.0149322640792395,0.003392080029602227,0.013506673101640262,0.009860951620783811,0.02818529572962554
560,0.5590000000000004,0.001,0.014453138677364245,0.0037154554396244734,0.011463064356310606,0.010109371692243609,0.02827796580923233
580,0.5790000000000004,0.001,0.014120118755098115,0.003879073172558756,0.009669908866473172,0.010319212924652491,0.028318404852309364
600,0.5990000000000004,0.001,0.013956019820574816,0.003926047448603377,0.008126832755194983,0.010495821406363662,0.028377888675541856
620,0.6190000000000004,0.001,0.013970512683316162,0.003826062590095436,0.006998379974482084,0.010645826590382504,0.0284424018637941
640,0.6390000000000005,0.001,0.01415371783524192,0.0035379766424738185,0.006315629831580607,0.01077771256527573,0.02846940704299147
660,0.6590000000000005,0.001,0.014476431199865079,0.003080101589139861,0.006153205769129801,0.01090157102411291,0.02845810381311785
680,0.6790000000000005,0.001,0.014887621913415488,0.0024741198140514715,0.006319606986408986,0.0110261626567195,0.02838790438418646
700,0.6990000000000005,0.001,0.015322560614717455,0.0018996825304611893,0.00665192209937526,0.011155911972049674,0.02837815511722832
720,0.7190000000000005,0.001,0.01571297632175513,0.0013730588840704541,0.0069353617568074935,0.011292124268914027,0.028378159474739612
740,0.7390000000000005,0.001,0.015999795065665165,0.0009326242519502464,0.007111656312761278,0.01143308257539788,0.02836550189301329
760,0.7590000000000006,0.001,0.016142126881674615,0.0006909717772805109,0.007071604373015385,0.01157537914896051,0.028408477807915635
780,0.7790000000000006,0.001,0.01612167117778595,0.0006030132859924914,0.0067920250305430275,0.011714195314914676,0.028438879778693117
800,0.7990000000000006,0.001,0.015943502659037857,0.0006827206638987043,0.006366925986509114,0.011845779395746091,0.02847200271868265
820,0.8190000000000006,0.001,0.015628350625297716,0.0009218309337642024,0.005857559371742996,0.011967748961639758,0.028517930520701677
840,0.8390000000000006,0.001,0.015206781693870453,0.001251652474227911,0.005400327952700598,0.012079929716111933,0.028538363884210296
860,0.8590000000000007,0.001,0.01471324477827639,0.0017282090180504646,0.005065463894302254,0.012184145036712902,0.028625598833039757
880,0.8790000000000007,0.001,0.01418468646575119,0.002131667978112949,0.004880408110997289,0.012283192017822284,0.02859954646168642
900,0.8990000000000007,0.001,0.013657373583343449,0.0025878835988647573,0.004854812928311008,0.012380162001984593,0.0286254191841928
920,0.9190000000000007,0.001,0.013169645181123235,0.0030165665932776324,0.004990644499147493,0.01247849055241535,0.02866470232681622
940,0.9390000000000007,0.001,0.012756090836197501,0.0033710077825522392,0.005300328981100849,0.012581234610723259,0.028708333229473
960,0.9590000000000007,0.001,0.012449115340602295,0.003551205204254664,0.0059028330064184245,0.012693008543837321,0.02869332908869428
980,0.9790000000000008,0.001,0.0122715098991111,0.0036054717068947253,0.006740167987098328,0.012819547996520493,0.02869652960252632
1000,0.9990000000000008,0.001,0.012231989429929877,0.0035322802336141086,0.0077458284434817875,0.012964710466562326,0.02872898013010631
